Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C10","10µF","C_1206",95.750000,-116.000000,0.000000,top
"C11","10µF","C_1206",102.250000,-116.000000,180.000000,top
"C20","10µF","C_1206",95.750000,-96.000000,0.000000,top
"C21","10µF","C_1206",102.250000,-96.000000,180.000000,top
"C40","1nF","C_0805",134.750000,-85.500000,90.000000,top
"C41","1nF","C_0805",130.000000,-94.250000,0.000000,top
"C50","1nF","C_0805",154.750000,-85.500000,90.000000,top
"C51","1nF","C_0805",157.290000,-94.250000,270.000000,top
"C52","22nF","C_0805",152.210000,-94.250000,270.000000,top
"C53","1nF","C_0805",149.670000,-94.250000,90.000000,top
"C54","1nF","C_0805",141.250000,-97.750000,0.000000,top
"C80","2.2µF","C_0805",125.000000,-119.500000,180.000000,top
"C81","100nF","C_0805",125.000000,-117.500000,180.000000,top
"C82","12pF","C_0805",128.000000,-122.500000,270.000000,top
"C83","12pF","C_0805",131.000000,-125.750000,180.000000,top
"Q40","BC847","SOT-23",131.000000,-90.750000,270.000000,top
"Q50","BC847","SOT-23",145.500000,-94.250000,180.000000,top
"Q60","BC847","SOT-23",109.750000,-136.500000,270.000000,top
"Q61","BC847","SOT-23",119.750000,-132.250000,270.000000,top
"Q70","BC847","SOT-23",94.750000,-136.500000,270.000000,top
"R1","300","R_1206",84.750000,-101.500000,270.000000,top
"R2","300","R_1206",84.750000,-106.500000,270.000000,top
"R10","240","R_0805",91.500000,-113.000000,90.000000,top
"R11","680","R_0805",91.500000,-109.000000,90.000000,top
"R20","240","R_0805",91.500000,-93.000000,90.000000,top
"R21","390","R_0805",91.500000,-89.000000,90.000000,top
"R40","100k","R_0805",134.750000,-90.750000,90.000000,top
"R41","1k","R_0805",134.000000,-94.250000,180.000000,top
"R50","100k","R_0805",145.500000,-97.750000,0.000000,top
"R51","1k","R_0805",141.250000,-94.250000,0.000000,top
"R60","33k","R_0805",114.750000,-136.500000,270.000000,top
"R61","100k","R_0805",109.750000,-133.000000,180.000000,top
"R62","3.3k","R_0805",119.750000,-129.000000,180.000000,top
"R63","1k","R_0805",119.750000,-136.500000,90.000000,top
"R70","33k","R_0805",99.750000,-136.500000,270.000000,top
"R71","100k","R_0805",94.750000,-133.000000,180.000000,top
"R80","47","R_0603",133.750000,-122.500000,270.000000,top
"U10","LM317","TO-252-2",99.000000,-111.000000,0.000000,top
"U20","LM317","TO-252-2",99.000000,-91.000000,0.000000,top
"U30","ULN2803A","SOIC-18W_7.5x11.6mm_Pitch1.27mm",148.000000,-112.580000,0.000000,top
"U31","UDN2981","SOIC-18W_7.5x11.6mm_Pitch1.27mm",148.000000,-126.920000,0.000000,top
"U80","STM32G030C8T6","LQFP-48_7x7mm_Pitch0.5mm",127.250000,-111.000000,90.000000,top
"Y80","16MHz","Crystal_SMD_3225-4pin_3.2x2.5mm",131.000000,-122.500000,270.000000,top
