Comment,Designator,Footprint,LCSC
"LED","D10,D11,D12,D13,D14,D15,D16,D17,D18,D19","Skalen-Beleuchtung:LEXTAR-PC35H13-V1","C317646"
"300","R10,R11,R12,R13,R14,R15,R16,R17,R18,R19","Resistors_SMD:R_1206","C17887"
