"3.3nF","C801,C802,C821,C822"
"15nF","C806,C826"
"2.2µF","C807,C827"
"4.7µF","C814,C834"
"2.2nF","C816"
"39pF","C808,C828"
"4.7µF","C811,C831"
"220µF","C833"
"22nF","C836"
"2.2k","R801,R802,R821,R822"
"8.2k","R806,R826"
"33k","R811,R812,R831,R832"
"150k","R814,R834"
"39k","R803,R823"
"15k","R804,R807,R824,R827"
"47k","R808,R828"
"3.3k","R813,R833"
"BC547","T808,T814,T828,T834"
