Designator,Footprint,Quantity,Value,LCSC Part #
"R2223, R2224",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,22k,
R2227,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.5k,
"R2233, R2234",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,15k,
"R2241, R2251",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,12k,
"R2242, R2252",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,6.8k,
"R2243, R2247, R2253, R2257",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,4,220k,
"R2244, R2254, R2297",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,2.2k,
"R2249, R2259",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47k,
"R2261, R2281",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,1.8k,
"R2262, R2282",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,1k,
"R2271, R2291, R2357, R2387",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,4,22k,
"R2272, R2292",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,8.2k,
"R2273, R2293",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,4.7k,
"R2274, R2294",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,390,
"R2275, R2295",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,2.2k,
"R2276, R2296",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,1.5k,
"R2298, R2306",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,4.7k,
"R2303, R2313",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,22k,
"R2402, R2405",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,2,10k,
R2404,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,100,
"RS2151, RS2158",R_Array_SIP9,2,470k,
ST16,STOCKO-MKS-1655_1755,1,HF-Grundplatte,
SW1,SW_DIP_02_02_05,1,~,
"T2402, T2403",TO-92_Wide,2,BC557,
