Designator,Mid X,Mid Y,Rotation,Layer
R2177,182.5,-226.25,180.0,top
R2178,182.5,-221.25,180.0,top
R2181,33.0,-264.0,270.0,top
R2182,28.0,-264.0,270.0,top
R2183,28.0,-248.75,270.0,top
R2184,33.0,-248.75,270.0,top
R2191,249.25,-251.25,180.0,top
R2192,249.25,-256.25,180.0,top
R2193,249.25,-186.25,180.0,top
R2194,249.25,-191.25,180.0,top
R2196,249.25,-196.25,180.0,top
R2197,249.25,-201.25,180.0,top
R2201,249.25,-206.25,180.0,top
R2202,249.25,-211.25,180.0,top
R2203,249.25,-216.25,180.0,top
R2204,249.25,-221.25,180.0,top
R2206,249.25,-166.25,180.0,top
R2207,249.25,-171.25,180.0,top
R2211,172.34,-156.25,0.0,top
R2212,172.34,-151.25,0.0,top
R2213,172.34,-161.25,0.0,top
R2214,172.34,-166.25,0.0,top
R2216,172.34,-171.25,0.0,top
R2217,172.34,-176.25,0.0,top
R2218,172.34,-196.25,0.0,top
R2221,182.5,-186.25,180.0,top
R2222,182.5,-201.25,180.0,top
R2223,172.34,-206.25,0.0,top
R2224,172.34,-211.25,0.0,top
R2227,186.42,-146.25,0.0,top
R2228,182.5,-181.25,180.0,top
R2229,182.5,-191.25,180.0,top
R2233,78.0,-148.435,270.0,top
R2234,58.0,-148.435,270.0,top
R2236,106.5,-148.0,180.0,top
R2237,58.5,-22.5,270.0,top
R2238,23.5,-22.5,270.0,top
R2241,50.5,-37.5,270.0,top
R2242,23.5,-37.5,270.0,top
R2243,45.5,-32.5,0.0,top
R2244,90.5,-22.5,0.0,top
R2247,28.5,-32.5,180.0,top
R2248,28.5,-47.5,270.0,top
R2249,33.5,-47.5,270.0,top
R2251,85.5,-37.5,270.0,top
R2252,58.5,-37.5,270.0,top
R2253,80.5,-32.5,0.0,top
R2254,100.66,-27.5,180.0,top
R2257,63.5,-32.5,180.0,top
R2258,75.5,-47.5,270.0,top
R2259,80.5,-47.5,270.0,top
R2261,75.25,-98.75,0.0,top
R2262,75.25,-93.75,0.0,top
R2263,106.5,-74.0,180.0,top
R2271,83.5,-98.75,0.0,top
R2272,83.5,-93.75,0.0,top
R2273,75.25,-113.75,0.0,top
R2274,83.5,-108.75,0.0,top
R2275,83.5,-113.75,0.0,top
R2276,75.25,-108.75,0.0,top
R2281,43.0,-98.75,0.0,top
R2282,43.0,-93.75,0.0,top
R2291,51.25,-98.75,0.0,top
R2292,51.25,-93.75,0.0,top
R2293,43.0,-113.75,0.0,top
R2294,51.25,-108.75,0.0,top
R2295,51.25,-113.75,0.0,top
R2296,43.0,-108.75,0.0,top
R2297,106.5,-123.5,180.0,top
R2298,106.5,-168.0,180.0,top
R2303,194.62,-71.0,180.0,top
R2306,115.91,-37.5,180.0,top
R2313,229.62,-71.0,180.0,top
R2357,182.5,-40.5,180.0,top
R2366,229.5,-44.16,90.0,top
R2381,108.75,-188.18,90.0,top
R2387,182.5,-45.5,180.0,top
R2396,234.5,-44.16,90.0,top
R2402,240.565,-261.25,180.0,top
R2403,225.66,-266.25,180.0,top
R2404,249.25,-266.25,180.0,top
R2405,249.25,-261.25,180.0,top
RS2151,200.5,-239.805,270.0,top
RS2158,200.5,-204.805,270.0,top
ST16,190.5,-270.625,180.0,top
SW1,24.25,-90.0,0.0,top
T2402,240.79,-271.73,180.0,top
T2403,249.54,-271.73,180.0,top
