Comment,Designator,Footprint,LCSC
"LEXTAR-PC35H13-V1","D31,D32","Skalen-Beleuchtung:LEXTAR-PC35H13-V1","C317646"
"Conn_01x01","J10,J11","Wire_Pads:SolderWirePad_single_1mmDrill",""
"300","R31,R32","Resistors_SMD:R_1206","C17887"
